"","property_no","property_address","total rates","lv","cv","rate_yr","assessment_number","rate area (ha)","qv category","suburb"
"1",13,"2 Tregenna St~WHANGANUI",3891.3,205000,405000,"26_27","1309001200",0.0507,"Residential","Castlecliff"
"2",14,"4 Tregenna St~WHANGANUI",3908.87,215000,435000,"26_27","1309001300",0.0539,"Residential","Castlecliff"
"3",15,"6 Tregenna St~WHANGANUI",3456.25,180000,235000,"26_27","1309001400",0.0539,"Residential","Castlecliff"
"4",16,"8 Tregenna St~WHANGANUI",3898.36,215000,365000,"26_27","1309001500",0.0539,"Residential","Castlecliff"
"5",30,"15 Morgan St~WHANGANUI",3663.94,175000,375000,"26_27","1309002900",0.0637,"Residential","Castlecliff"
"6",31,"13 Ashton Tce~WHANGANUI",2410.54,170000,170000,"26_27","1309003000",0.0506,"Residential","Castlecliff"
"7",32,"15 Ashton Tce~WHANGANUI",3798.62,210000,315000,"26_27","1309003100",0.0711,"Residential","Castlecliff"
"8",33,"17 Ashton Tce~WHANGANUI",3867.34,210000,365000,"26_27","1309003200",0.0711,"Residential","Castlecliff"
"9",48,"18 Ashton Tce~WHANGANUI",4239.58,270000,365000,"26_27","1309004400",0.1008,"Residential","Castlecliff"
"10",49,"20 Ashton Tce~WHANGANUI",4253.32,270000,375000,"26_27","1309004500",0.1008,"Residential","Castlecliff"
"11",50,"22 Ashton Tce~WHANGANUI",4358.09,295000,395000,"26_27","1309004600",0.1006,"Residential","Castlecliff"
"12",64,"23 Egmont St~WHANGANUI",3639.99,180000,335000,"26_27","1309005500",0.055,"Residential","Castlecliff"
"13",80,"10 Egmont St~WHANGANUI",3907.73,230000,355000,"26_27","1309006500",0.0931,"Residential","Castlecliff"
"14",81,"12 Egmont St~WHANGANUI",4137.79,250000,445000,"26_27","1309006600",0.1062,"Residential","Castlecliff"
"15",82,"14 Egmont St~WHANGANUI",3915.21,235000,335000,"26_27","1309006700",0.0966,"Residential","Castlecliff"
"16",83,"16 Egmont St~WHANGANUI",4269.79,295000,320000,"26_27","1309006800",0.1082,"Residential","Castlecliff"
"17",97,"11 Cornfoot St~WHANGANUI",4154.31,265000,380000,"26_27","1309008200",0.1001,"Residential","Castlecliff"
"18",98,"15 Cornfoot St~WHANGANUI",4366.81,275000,435000,"26_27","1309008300",0.1052,"Residential","Castlecliff"
"19",99,"17 Cornfoot St~WHANGANUI",4214.77,270000,405000,"26_27","1309008400",0.1018,"Residential","Castlecliff"
"20",100,"19 Cornfoot St~WHANGANUI",4599.46,295000,6e+05,"26_27","1309008500",0.0999,"Residential","Castlecliff"
"21",113,"2 Cornfoot St~WHANGANUI",5046.65,350000,690000,"26_27","1309009500",0.1426,"Residential","Castlecliff"
"22",114,"6 Cornfoot St~WHANGANUI",4173.56,270000,370000,"26_27","1309009501",0.1024,"Residential","Castlecliff"
"23",115,"8 Cornfoot St~WHANGANUI",4226.54,270000,415000,"26_27","1309009600",0.1022,"Residential","Castlecliff"
"24",116,"10 Cornfoot St~WHANGANUI",3325.83,140000,335000,"26_27","1309009700A",0,"Residential","Castlecliff"
"25",130,"40 Cornfoot St~WHANGANUI",4171.97,265000,395000,"26_27","1309011000",0.1001,"Residential","Castlecliff"
"26",131,"40B Cornfoot St~WHANGANUI",2297.72,290000,465000,"26_27","1309011100",0.1016,"Other","Castlecliff"
"27",132,"5 Hood St~WHANGANUI",3798.05,180000,450000,"26_27","1309011200",0.0559,"Dairy","Castlecliff"
"28",133,"9 Hood St~WHANGANUI",4062.38,235000,460000,"26_27","1309011300",0.0845,"Residential","Castlecliff"
"29",147,"31 Hood St~WHANGANUI",4303.07,270000,480000,"26_27","1309012400",0.1011,"Residential","Castlecliff"
"30",148,"33 Hood St~WHANGANUI",4294.56,270000,405000,"26_27","1309012500",0.1012,"Residential","Castlecliff"
"31",149,"35 Hood St~WHANGANUI",4255.98,270000,440000,"26_27","1309012600",0.1012,"Residential","Castlecliff"
"32",150,"37 Hood St~WHANGANUI",4238.32,270000,425000,"26_27","1309012700",0.1012,"Residential","Castlecliff"
"33",163,"14 Hood St~WHANGANUI",3911.91,205000,420000,"26_27","1309013208",0.0669,"Residential","Castlecliff"
"34",164,"16 Hood St~WHANGANUI",3856.75,195000,425000,"26_27","1309013209",0.0635,"Residential","Castlecliff"
"35",165,"18 Hood St~WHANGANUI",3788.02,195000,375000,"26_27","1309013210",0.0635,"Residential","Castlecliff"
"36",166,"20 Hood St~WHANGANUI",3822.38,195000,4e+05,"26_27","1309013211",0.0635,"Residential","Castlecliff"
"37",167,"22 Hood St~WHANGANUI",3932.33,195000,480000,"26_27","1309013212",0.0635,"Residential","Castlecliff"
"38",180,"11 Laird St~WHANGANUI",4177.86,265000,4e+05,"26_27","1309014400",0.098,"Residential","Castlecliff"
"39",181,"13 Laird St~WHANGANUI",4222.24,275000,385000,"26_27","1309014500",0.1034,"Residential","Castlecliff"
"40",182,"15 Laird St~WHANGANUI",4304.77,265000,435000,"26_27","1309014600",0.0984,"Residential","Castlecliff"
"41",183,"17 Laird St~WHANGANUI",4267.76,270000,450000,"26_27","1309014700",0.1004,"Residential","Castlecliff"
"42",197,"18 Laird St~WHANGANUI",4177.86,265000,4e+05,"26_27","1309015600",0.0996,"Residential","Castlecliff"
"43",198,"20 Laird St~WHANGANUI",4201.41,265000,420000,"26_27","1309015700",0.0999,"Residential","Castlecliff"
"44",199,"22 Laird St~WHANGANUI",4325.39,265000,450000,"26_27","1309015800",0.0994,"Residential","Castlecliff"
"45",200,"28 Laird St~WHANGANUI",4291.3,270000,470000,"26_27","1309015900",0.1006,"Residential","Castlecliff"
"46",214,"55 Thatcher St~WHANGANUI",4097.03,270000,305000,"26_27","1309016800",0.1017,"Residential","Castlecliff"
"47",215,"57 Thatcher St~WHANGANUI",4256.66,265000,4e+05,"26_27","1309016900",0.0994,"Residential","Castlecliff"
"48",216,"59 Thatcher St~WHANGANUI",4496.66,305000,460000,"26_27","1309017000",0.106,"Residential","Castlecliff"
"49",230,"5 Polson St~WHANGANUI",6283,245000,510000,"26_27","1309018400",0.1064,"Commercial","Castlecliff"
"50",231,"7 Polson St~WHANGANUI",4112.66,245000,450000,"26_27","1309018500",0.1057,"Residential","Castlecliff"
"51",232,"11 Polson St~WHANGANUI",3037.95,255000,255000,"26_27","1309018600",0.1052,"Commercial","Castlecliff"
"52",233,"15 Polson St~WHANGANUI",4346.32,295000,385000,"26_27","1309018700",0.1016,"Residential","Castlecliff"
"53",247,"43 Polson St~WHANGANUI",4224.96,265000,440000,"26_27","1309020000",0.0998,"Residential","Castlecliff"
"54",248,"45 Polson St~WHANGANUI",4238.32,270000,425000,"26_27","1309020100",0.1015,"Residential","Castlecliff"
"55",249,"47 Polson St~WHANGANUI",4308.3,270000,415000,"26_27","1309020200",0.1011,"Residential","Castlecliff"
"56",250,"49 Polson St~WHANGANUI",4297.9,265000,430000,"26_27","1309020300",0.0999,"Residential","Castlecliff"
"57",264,"4 Morgan St~WHANGANUI",3663.94,175000,375000,"26_27","1309021500",0.0573,"Residential","Castlecliff"
"58",265,"24 Tregenna St~WHANGANUI",3839.86,210000,345000,"26_27","1309021600",0.0695,"Residential","Castlecliff"
"59",283,"49 Bryce St~WHANGANUI",99216.24,2490000,5530000,"26_27","1309023100",1.5583,"Industrial","Castlecliff"
"60",314,"5 Carson St~WHANGANUI",4344.08,270000,560000,"26_27","1309025700",0.1008,"Residential","Castlecliff"
"61",315,"17 Carson St~WHANGANUI",4338.4,270000,510000,"26_27","1309025800",0.1006,"Residential","Castlecliff"
"62",316,"9 Carson St~WHANGANUI",3732.94,180000,470000,"26_27","1309025801",0.0607,"Residential","Castlecliff"
"63",317,"3 Carson St~WHANGANUI",4320.73,270000,495000,"26_27","1309025900",0.1006,"Residential","Castlecliff"
"64",331,"214A Puriri St~WHANGANUI",3316.23,140000,280000,"26_27","1309027200B",0,"Residential","Castlecliff"
"65",333,"17 Mosston Rd~WHANGANUI",4691.84,345000,415000,"26_27","1309027300",0.1421,"Residential","Castlecliff"
"66",334,"19 Mosston Rd~WHANGANUI",4851.25,365000,445000,"26_27","1309027400",0.1523,"Residential","Castlecliff"
